电影名称,评分,导演,评论
蝴蝶效应,8.9,埃里克·布雷斯,人的命运被自己瞬间的抉择改变。
致命魔术,8.9,克里斯托弗·诺兰,孪生蝙蝠侠大战克隆金刚狼。
哈利·波特与阿兹卡班的囚徒,8.9,Alfonso,不一样的导演，不一样的哈利·波特。
心灵捕手,8.9,格斯·范·桑特,人生中应该拥有这样的一段豁然开朗。
超脱,9,托尼·凯耶,穷尽一生，我们要学会的，不过是彼此拥抱。
低俗小说,8.9,昆汀·塔伦蒂诺,故事的高级讲法。
海豚湾,9.3,路易·西霍尤斯,海豚的微笑，是世界上最高明的伪装。
摩登时代,9.3,查理·卓别林,大时代中的人生，小人物的悲喜。
春光乍泄,9,王家卫,爱情纠缠，男女一致。
美国往事,9.2,赛尔乔·莱翁内,往事如烟，无处祭奠。
喜剧之王,8.8,周星驰,我是一个演员。
致命ID,8.9,詹姆斯·曼高德,最不可能的那个人永远是最可能的。
杀人回忆,8.9,奉俊昊,关于连环杀人悬案的集体回忆。
七宗罪,8.8,大卫·芬奇,警察抓小偷，老鼠玩死猫。
红辣椒,9.1,今敏,梦的勾结。
加勒比海盗,8.8,戈尔·维宾斯基,约翰尼·德普的独角戏。
哈利·波特与密室,8.9,Chris,魔法的密室之门已打开...
一一,9.1,杨德昌,我们都曾经是一一。
狩猎,9.1,托马斯·温特伯格,人言可畏。
唐伯虎点秋香,8.7,李力持,华太师是黄霑，吴镇宇四大才子之一。
7号房的礼物,8.9,李焕庆,《我是山姆》的《美丽人生》。
被嫌弃的松子的一生,8.9,中岛哲也,以戏谑来戏谑戏谑。
蝙蝠侠：黑暗骑士崛起,8.9,克里斯托弗·诺兰,诺兰就是保证。
请以你的名字呼唤我,8.8,卢卡·瓜达尼诺,沉醉在电影的情感和视听氛围中无法自拔。
爱在黎明破晓前,8.8,理查德·林克莱特,缘分是个连绵词，最美不过一瞬。
剪刀手爱德华,8.7,蒂姆·波顿,浪漫忧郁的成人童话。
断背山,8.8,李安,每个人心中都有一座断背山。
入殓师,8.9,泷田洋二郎,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
第六感,8.9,M·奈特·沙马兰,深入内心的恐怖，出人意料的结局。
重庆森林,8.8,王家卫,寂寞没有期限。
勇敢的心,8.9,梅尔·吉布森,史诗大片的典范。
超能陆战队,8.7,唐·霍尔,Balalala~~~
甜蜜蜜,8.9,陈可辛,相逢只要一瞬间，等待却像是一辈子。
幽灵公主,8.9,宫崎骏,人与自然的战争史诗。
爱在日落黄昏时,8.9,理查德·林克莱特,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
菊次郎的夏天,8.9,北野武,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
借东西的小人阿莉埃蒂,8.9,米林宏昌,曾经的那段美好会沉淀为一辈子的记忆。
寄生虫,8.8,奉俊昊,年度最佳date movie。
消失的爱人,8.7,大卫·芬奇,一场华丽的意淫。
阳光灿烂的日子,8.8,姜文,法式小清新。 
天使爱美丽,8.7,让-皮埃尔·热内,坏人的好总是比好人的好来得更感人。
完美的世界,9.1,克林特·伊斯特伍德,那些静得只能听见呼吸的日子里，你明白孤独即生活。
小森林 夏秋篇,9,森淳一,两张绝世的脸。 
倩女幽魂,8.8,程小东,我的平常生活就是他人的幸福。
无人知晓,9.1,是枝裕和,天使暂时离开。
绿里奇迹,8.9,弗兰克·德拉邦特,当这个世界闭上双眼，他却敞开了怀抱。
卢旺达饭店,8.9,特瑞·乔治,一个针管引发的血案。
小丑,8.7,托德·菲利普斯,中国版《两杆大烟枪》。
记忆碎片,8.7,克里斯托弗·诺兰,骨灰级歌舞片。
背靠背，脸对脸,9.5,黄建新,现代科幻电影的开山之作，最伟大导演的最伟大影片。
疯狂的石头,8.6,宁浩,岁月流逝，来日可追。
心灵奇旅,8.7,彼特·道格特,养狗三日，便会对你终其一生。
雨中曲,9.1,斯坦利·多南,始于荒诞，止于更荒诞。
2001太空漫游,8.9,斯坦利·库布里克,我们组成了家。
岁月神偷,8.7,罗启锐,迪士尼和皮克斯拿错剧本的产物。
无间道2,8.7,刘伟强,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
忠犬八公物语,9.2,神山征二郎,松鼠才是角儿。
荒蛮故事,8.8,达米安·斯兹弗隆,不要企图在重复中寻找已经失去的爱。
小偷家族,8.7,是枝裕和,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
无敌破坏王,8.7,瑞奇·莫尔,弱者送给弱者的一刀。
爆裂鼓手,8.7,达米恩·查泽雷,电影诗。
冰川时代,8.6,卡洛斯·沙尔丹哈,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
恐怖游轮,8.5,克里斯托弗·史密斯,人们可以登上月球，却永远无法探索人们内心的宇宙。
贫民窟的百万富翁,8.6,丹尼·鲍尔,用剩余不多的时间，去燃烧整个生命。
牯岭街少年杀人事件,8.9,杨德昌,小成本大魅力。
东京教父,9,今敏,世界不完美，爱会有奇迹。
东邪西毒,8.6,王家卫,最忠于原著的一部。
魔女宅急便,8.7,宫崎骏,一个精彩的世界观正在缓缓建立。
大佛普拉斯,8.7,黄信尧,有一些东西不应该被遗忘。
遗愿清单,8.7,罗伯·莱纳,每个美丽事物背后都是滴血的现实。
花束般的恋爱,8.6,土井裕泰,做一颗让别人需要你的棋子。
彗星来的那一夜,8.6,詹姆斯·沃德·布柯特,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
奇迹男孩,8.6,斯蒂芬·卓博斯基,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
哈利·波特与死亡圣器(上),8.5,大卫·叶茨,中国式内在的美国电影。
黑客帝国2：重装上阵,8.7,拉娜·沃卓斯基,爱情是一场没有尽头的虚幻追逐。
二十二,8.7,郭柯,谁说王家卫镜头很晃？
血钻,8.7,爱德华·兹威克,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
战争之王,8.7,安德鲁·尼科尔,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
火星救援,8.5,雷德利·斯科特,王家卫是一种风格，张国荣是一个代表。
步履不停,8.8,是枝裕和,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
房间,8.8,伦尼·阿伯拉罕森,爱我就给我看你的播放列表。
魂断蓝桥,8.8,茂文·勒鲁瓦,传奇，不是每个人都可以拥有。
千年女优,8.8,今敏,
白日梦想家,8.6,本·斯蒂勒,
谍影重重2,8.7,保罗·格林格拉斯,
哈利·波特与凤凰社,8.5,大卫·叶茨,
高山下的花环,9.5,谢晋,
弱点,8.7,约翰·李·汉考克,
蜘蛛侠：平行宇宙,8.6,鲍勃·佩尔西凯蒂,
谍影重重,8.6,道格·里曼,
阿飞正传,8.5,王家卫,
朗读者,8.6,史蒂芬·戴德利,
大红灯笼高高挂,8.8,张艺谋,
再次出发之纽约遇见你,8.6,约翰·卡尼,
燃情岁月,8.7,爱德华·兹威克,
